customer_id,recency,frequency,monetary,is_recency_outlier,is_frequency_outlier,is_monetary_outlier,outlier_count,name,registration_date,age,days_since_registration,avg_order_value,customer_lifetime_days,purchase_rate_per_month,recency_score,frequency_score,monetary_score,rfm_score,segment,simplified_segment
CUST_00001,148,1,211.08,False,False,False,0,Tamara Parks,2025-01-20,24,171,211.08,0.0,0.17801169590643276,2,1,3,213,Hibernating,Low Value
CUST_00002,39,1,95.71,False,False,False,0,Dr. Shannon Burns,2025-05-10,41,61,95.71,0.0,0.49901639344262294,3,1,2,312,Others,Low Value
CUST_00003,12,3,959.1,False,False,False,0,Mark Brown,2025-06-19,41,21,319.7,0.0,4.348571428571429,4,3,3,433,Loyal Customers,High Value
CUST_00004,34,9,4140.99,False,False,False,0,Jose Martinez,2024-04-17,50,449,460.10999999999996,0.0,0.6101559020044544,3,4,4,344,Loyal Customers,High Value
CUST_00005,0,44,34444.58,False,True,True,2,Angel Brown,2025-07-03,31,7,782.8313636363637,0.0,191.33714285714288,5,5,5,555,Champions,High Value
CUST_00006,57,1,130.87,False,False,False,0,Micheal Moody,2025-04-28,31,73,130.87,0.0,0.41698630136986303,3,1,2,312,Others,Low Value
CUST_00007,126,1,95.39,False,False,False,0,Angela Evans,2025-02-28,18,132,95.39,0.0,0.2306060606060606,2,1,2,212,Hibernating,Low Value
CUST_00008,58,7,4598.93,False,False,False,0,Jennifer Ramos,2025-03-07,49,125,656.99,0.0,1.70464,3,3,4,334,Loyal Customers,High Value
CUST_00009,324,1,202.46,False,False,False,0,Amanda Walsh,2024-07-30,32,345,202.46,0.0,0.08823188405797103,2,1,3,213,Hibernating,Low Value
CUST_00010,3,6,2091.6,False,False,False,0,Jason Castillo PhD,2025-01-25,29,166,348.59999999999997,0.0,1.1002409638554218,5,3,3,533,Loyal Customers,High Value
CUST_00011,216,1,203.26,False,False,False,0,Bruce Thompson,2024-11-30,30,222,203.26,0.0,0.13711711711711713,2,1,3,213,Hibernating,Low Value
CUST_00012,258,1,43.75,False,False,False,0,Michele Cole,2024-10-20,45,263,43.75,0.0,0.11574144486692016,2,1,2,212,Hibernating,Low Value
CUST_00013,163,7,4994.89,False,False,False,0,Daniel Foster,2024-08-17,39,327,713.5557142857143,0.0,0.6516207951070337,2,3,4,234,Loyal Customers,High Value
CUST_00014,11,33,22616.47,False,True,True,2,Ryan Williams,2025-05-03,31,68,685.3475757575758,0.0,14.77235294117647,4,5,5,455,Champions,High Value
CUST_00015,1,22,15422.61,False,False,True,1,Denise Moore,2025-06-16,30,24,701.0277272727272,0.0,27.903333333333336,5,5,5,555,Champions,High Value
CUST_00016,24,1,43.84,False,False,False,0,Connie Shannon,2025-06-03,49,37,43.84,0.0,0.8227027027027027,4,1,2,412,New Customers,Medium Value
CUST_00017,418,1,30.81,False,False,False,0,Benjamin Harris Jr.,2024-05-16,25,420,30.81,0.0,0.07247619047619049,1,1,1,111,Lost,Low Value
CUST_00018,56,9,6300.54,False,False,False,0,James Johnson,2024-11-03,36,249,700.06,0.0,1.1002409638554218,3,4,4,344,Loyal Customers,High Value
CUST_00019,0,6,1954.08,False,False,False,0,Jacob Thompson,2025-06-28,35,12,325.68,0.0,15.22,5,3,3,533,Loyal Customers,High Value
CUST_00020,381,1,76.37,False,False,False,0,Amber Burns,2024-06-09,42,396,76.37,0.0,0.07686868686868688,1,1,2,112,Hibernating,Low Value
CUST_00021,109,1,79.36,False,False,False,0,Robert Weber,2025-02-24,71,136,79.36,0.0,0.2238235294117647,3,1,2,312,Others,Low Value
CUST_00022,73,1,43.88,False,False,False,0,Anthony Ryan,2025-04-27,52,74,43.88,0.0,0.41135135135135137,3,1,2,312,Others,Low Value
CUST_00023,1251,1,77.91,True,False,False,1,Karen Zavala,2022-01-13,40,1274,77.91,0.0,0.023893249607535322,1,1,2,112,Hibernating,Low Value
CUST_00024,20,32,21342.83,False,True,True,2,Robert Miller,2022-12-23,48,930,666.9634375,0.0,1.0473978494623657,4,5,5,455,Champions,High Value
CUST_00025,3,8,3658.23,False,False,False,0,Sonya Goodwin,2025-06-07,25,33,457.27875,0.0,7.379393939393939,5,4,4,544,Champions,High Value
CUST_00026,9,30,14822.95,False,True,True,2,Christopher Morris,2025-03-17,19,115,494.09833333333336,0.0,7.940869565217392,4,5,5,455,Champions,High Value
CUST_00027,11,32,23595.39,False,True,True,2,Erica Collins DDS,2023-10-05,21,644,737.3559375,0.0,1.5125465838509318,4,5,5,455,Champions,High Value
CUST_00028,275,1,40.7,False,False,False,0,Caleb Brooks,2024-09-28,27,285,40.7,0.0,0.10680701754385966,2,1,2,212,Hibernating,Low Value
CUST_00029,5,9,2385.84,False,False,False,0,Lauren Chase,2025-05-16,44,55,265.09333333333336,0.0,4.981090909090909,5,4,3,543,Loyal Customers,High Value
CUST_00030,387,3,607.81,False,False,False,0,Christopher Duffy,2024-03-21,48,476,202.60333333333332,0.0,0.19184873949579834,1,3,3,133,Loyal Customers,High Value
CUST_00031,15,22,20240.34,False,False,True,1,Eric Kemp,2024-01-19,35,538,920.0154545454545,0.0,1.2447583643122677,4,5,5,455,Champions,High Value
CUST_00032,17,1,14.84,False,False,False,0,Phyllis Romero,2025-05-27,30,44,14.84,0.0,0.6918181818181819,4,1,1,411,New Customers,Medium Value
CUST_00033,725,1,42.45,True,False,False,1,Mr. Nicholas Miller MD,2023-07-16,19,725,42.45,0.0,0.04198620689655173,1,1,2,112,Hibernating,Low Value
CUST_00034,0,25,16435.97,False,False,True,1,Raymond Brown,2025-06-17,51,23,657.4388,0.0,33.08695652173913,5,5,5,555,Champions,High Value
CUST_00035,105,4,2572.98,False,False,False,0,Robin Day,2025-02-25,52,135,643.245,0.0,0.9019259259259259,3,3,4,334,Loyal Customers,High Value
CUST_00036,360,1,127.47,False,False,False,0,Ashley Jones,2024-07-05,27,370,127.47,0.0,0.08227027027027027,2,1,2,212,Hibernating,Low Value
CUST_00037,382,5,1474.17,False,False,False,0,Kristen Kelley,2023-05-06,25,796,294.834,0.0,0.19120603015075377,1,3,3,133,Loyal Customers,High Value
CUST_00038,438,1,130.64,False,False,False,0,James Brown,2024-04-11,37,455,130.64,0.0,0.0669010989010989,1,1,2,112,Hibernating,Low Value
CUST_00039,516,1,76.37,False,False,False,0,Ralph Melton,2024-02-04,55,522,76.37,0.0,0.05831417624521073,1,1,2,112,Hibernating,Low Value
CUST_00040,237,1,196.66,False,False,False,0,Juan Garcia,2024-11-04,42,248,196.66,0.0,0.12274193548387097,2,1,3,213,Hibernating,Low Value
CUST_00041,30,8,2627.25,False,False,False,0,Amy Torres,2024-10-14,33,269,328.40625,0.0,0.905278810408922,4,4,4,444,Champions,High Value
CUST_00042,2,29,19768.72,False,True,True,2,Tyler Hicks,2025-05-30,37,41,681.6800000000001,0.0,21.530731707317074,5,5,5,555,Champions,High Value
CUST_00043,0,6,5010.29,False,False,False,0,Jason Grimes,2025-06-29,20,11,835.0483333333333,0.0,16.603636363636365,5,3,4,534,Loyal Customers,High Value
CUST_00044,46,6,2002.15,False,False,False,0,Linda Haas,2024-10-24,50,259,333.69166666666666,0.0,0.7051737451737452,3,3,3,333,Loyal Customers,High Value
CUST_00045,863,1,95.71,True,False,False,1,Ashley Barrera,2023-02-22,31,869,95.71,0.0,0.03502876869965477,1,1,2,112,Hibernating,Low Value
CUST_00046,506,1,179.39,False,False,False,0,Michael Hurley,2024-02-12,20,514,179.39,0.0,0.05922178988326849,1,1,3,113,Hibernating,Low Value
CUST_00047,83,1,23.51,False,False,False,0,Julie Smith,2025-04-07,35,94,23.51,0.0,0.32382978723404254,3,1,1,311,Others,Low Value
CUST_00048,44,1,26.61,False,False,False,0,Jackie Barnes,2025-05-07,32,64,26.61,0.0,0.47562499999999996,3,1,1,311,Others,Low Value
CUST_00049,952,1,17.83,True,False,False,1,Samantha Johnson,2022-11-14,44,969,17.83,0.0,0.03141382868937049,1,1,1,111,Lost,Low Value
CUST_00050,104,18,10283.89,False,False,False,0,Shawn Miller,2023-06-23,51,748,571.3272222222222,0.0,0.7325133689839572,3,5,5,355,Loyal Customers,High Value
CUST_00051,37,22,13240.04,False,False,True,1,Tracey Montgomery,2023-11-24,54,594,601.82,0.0,1.1274074074074074,3,5,5,355,Loyal Customers,High Value
CUST_00052,824,1,40.48,True,False,False,1,Kimberly Bailey,2023-04-06,40,826,40.48,0.0,0.03685230024213075,1,1,2,112,Hibernating,Low Value
CUST_00053,3,28,21788.42,False,True,True,2,Dr. Kevin Carrillo,2025-02-21,34,139,778.1578571428571,0.0,6.131798561151079,5,5,5,555,Champions,High Value
CUST_00054,3,9,3449.9,False,False,False,0,Courtney Davidson,2024-12-19,33,203,383.32222222222225,0.0,1.3495566502463054,5,4,4,544,Champions,High Value
CUST_00055,603,1,213.67,False,False,False,0,Caitlin Hughes,2023-10-28,18,621,213.67,0.0,0.04901771336553945,1,1,3,113,Hibernating,Low Value
CUST_00056,14,28,16318.01,False,True,True,2,Patricia Bright,2025-04-10,42,91,582.7860714285714,0.0,9.366153846153846,4,5,5,455,Champions,High Value
CUST_00057,35,1,27.82,False,False,False,0,Bryan Warren,2025-05-25,43,46,27.82,0.0,0.6617391304347826,3,1,1,311,Others,Low Value
CUST_00058,25,10,4386.57,False,False,False,0,John Sharp,2025-02-18,36,142,438.657,0.0,2.1436619718309857,4,4,4,444,Champions,High Value
CUST_00059,43,6,688.93,False,False,False,0,Logan Griffin,2024-10-17,26,266,114.82166666666666,0.0,0.6866165413533835,3,3,3,333,Loyal Customers,High Value
CUST_00060,1273,1,36.74,True,False,False,1,Melissa Turner,2022-01-01,54,1286,36.74,0.0,0.023670295489891136,1,1,1,111,Lost,Low Value
CUST_00061,1187,1,47.06,True,False,False,1,Daniel Kim,2022-03-31,37,1197,47.06,0.0,0.025430242272347536,1,1,2,112,Hibernating,Low Value
CUST_00062,116,1,101.34,False,False,False,0,Robert Murray,2025-03-02,18,130,101.34,0.0,0.23415384615384616,3,1,2,312,Others,Low Value
CUST_00063,28,6,1459.43,False,False,False,0,Joseph Sanchez,2025-03-10,39,122,243.23833333333334,0.0,1.4970491803278687,4,3,3,433,Loyal Customers,High Value
CUST_00064,232,1,25.41,False,False,False,0,Melissa Oconnor,2024-10-29,32,254,25.41,0.0,0.11984251968503937,2,1,1,211,Lost,Low Value
CUST_00065,15,1,130.87,False,False,False,0,Edward Crosby,2025-06-21,43,19,130.87,0.0,1.6021052631578947,4,1,2,412,New Customers,Medium Value
CUST_00066,0,36,23169.28,False,True,True,2,Sonya Reyes,2025-04-02,34,99,643.5911111111111,0.0,11.06909090909091,5,5,5,555,Champions,High Value
CUST_00067,4,25,21080.12,False,False,True,1,Angela James,2025-05-14,42,57,843.2048,0.0,13.350877192982457,5,5,5,555,Champions,High Value
CUST_00068,0,17,5059.29,False,False,False,0,Jane Johnson,2025-03-31,37,101,297.6052941176471,0.0,5.123564356435644,5,4,4,544,Champions,High Value
CUST_00069,101,9,1694.45,False,False,False,0,Emily Warner,2024-05-29,28,407,188.27222222222224,0.0,0.6731203931203931,3,4,3,343,Loyal Customers,High Value
CUST_00070,3,30,21320.76,False,True,True,2,Michael Chung,2024-03-22,47,475,710.6919999999999,0.0,1.9225263157894736,5,5,5,555,Champions,High Value
CUST_00071,150,1,21.03,False,False,False,0,Heather Johnson,2025-01-24,54,167,21.03,0.0,0.1822754491017964,2,1,1,211,Lost,Low Value
CUST_00072,24,7,2448.28,False,False,False,0,Melissa Ramos,2024-10-03,54,280,349.75428571428574,0.0,0.761,4,3,4,434,Loyal Customers,High Value
CUST_00073,23,1,141.47,False,False,False,0,Lisa Graham,2025-06-06,32,34,141.47,0.0,0.8952941176470588,4,1,3,413,Potential Loyalists,Medium Value
CUST_00074,68,1,129.19,False,False,False,0,Lindsay Allen,2025-04-26,49,75,129.19,0.0,0.40586666666666665,3,1,2,312,Others,Low Value
CUST_00075,0,24,25421.12,False,False,True,1,Christopher Holland,2025-06-25,58,15,1059.2133333333334,0.0,48.704,5,5,5,555,Champions,High Value
CUST_00076,4,1,196.66,False,False,False,0,Diana House,2025-07-04,48,6,196.66,0.0,5.073333333333333,5,1,3,513,Potential Loyalists,Medium Value
CUST_00077,14,27,19587.56,False,True,True,2,Kimberly Carpenter MD,2024-10-22,45,261,725.4651851851852,0.0,3.1489655172413795,4,5,5,455,Champions,High Value
CUST_00078,39,1,196.66,False,False,False,0,Nicole Miller,2025-05-02,23,69,196.66,0.0,0.44115942028985505,3,1,3,313,Potential Loyalists,Medium Value
CUST_00079,55,9,6826.92,False,False,False,0,Jeremiah Leach,2024-05-08,45,428,758.5466666666666,0.0,0.6400934579439252,3,4,4,344,Loyal Customers,High Value
CUST_00080,46,1,33.81,False,False,False,0,Nicholas Martinez,2025-05-18,36,53,33.81,0.0,0.5743396226415095,3,1,1,311,Others,Low Value
CUST_00081,145,1,35.44,False,False,False,0,Ashley Austin DVM,2025-02-08,33,152,35.44,0.0,0.20026315789473684,2,1,1,211,Lost,Low Value
CUST_00082,375,1,145.53,False,False,False,0,Kristin Miller,2024-06-12,44,393,145.53,0.0,0.07745547073791349,1,1,3,113,Hibernating,Low Value
CUST_00083,600,1,45.61,False,False,False,0,Julie Ellison,2023-10-29,54,620,45.61,0.0,0.04909677419354839,1,1,2,112,Hibernating,Low Value
CUST_00084,32,5,1678.59,False,False,False,0,Darin Vaughn,2025-03-31,68,101,335.71799999999996,0.0,1.506930693069307,4,3,3,433,Loyal Customers,High Value
CUST_00085,5,8,1194.56,False,False,False,0,Michael Meyer,2025-06-05,20,35,149.32,0.0,6.957714285714285,5,4,3,543,Loyal Customers,High Value
CUST_00086,38,10,6501.72,False,False,False,0,Jeremy Lee,2025-02-04,52,156,650.172,0.0,1.9512820512820512,3,4,4,344,Loyal Customers,High Value
CUST_00087,454,1,105.77,False,False,False,0,Eric Humphrey,2024-03-25,45,472,105.77,0.0,0.06449152542372882,1,1,2,112,Hibernating,Low Value
CUST_00088,8,1,43.75,False,False,False,0,Christopher Williams,2025-06-08,52,32,43.75,0.0,0.9512499999999999,4,1,2,412,New Customers,Medium Value
CUST_00089,40,1,41.56,False,False,False,0,Susan Kane,2025-05-07,40,64,41.56,0.0,0.47562499999999996,3,1,2,312,Others,Low Value
CUST_00090,2,1,11.93,False,False,False,0,Suzanne Freeman,2025-07-07,48,3,11.93,0.0,10.146666666666667,5,1,1,511,New Customers,Medium Value
CUST_00091,17,11,5362.08,False,False,False,0,Mitchell Jones,2025-06-01,40,39,487.46181818181816,0.0,8.585641025641026,4,4,4,444,Champions,High Value
CUST_00092,169,14,6753.02,False,False,False,0,Mario Lamb,2024-05-07,23,429,482.35857142857145,0.0,0.9933799533799533,2,4,4,244,Loyal Customers,High Value
CUST_00093,376,1,37.48,False,False,False,0,Elizabeth Jones,2024-06-20,46,385,37.48,0.0,0.07906493506493507,1,1,1,111,Lost,Low Value
CUST_00094,50,12,3686.98,False,False,False,0,Jason Jimenez,2025-04-03,26,98,307.24833333333333,0.0,3.7273469387755105,3,4,4,344,Loyal Customers,High Value
CUST_00095,138,1,22.53,False,False,False,0,Brittany Walker,2025-02-17,47,143,22.53,0.0,0.21286713286713285,2,1,1,211,Lost,Low Value
CUST_00096,114,4,2893.21,False,False,False,0,Terry Garcia,2023-08-20,53,690,723.3025,0.0,0.17646376811594205,3,3,4,334,Loyal Customers,High Value
CUST_00097,48,10,5390.43,False,False,False,0,Kathryn Tucker,2024-06-14,27,391,539.043,0.0,0.7785166240409208,3,4,4,344,Loyal Customers,High Value
CUST_00098,6,8,2144.21,False,False,False,0,Heather Andersen,2025-01-24,39,167,268.02625,0.0,1.4582035928143713,4,4,3,443,Loyal Customers,High Value
CUST_00099,100,1,144.33,False,False,False,0,Valerie Jackson,2025-03-20,48,112,144.33,0.0,0.2717857142857143,3,1,3,313,Potential Loyalists,Medium Value
CUST_00100,352,1,140.68,False,False,False,0,Seth Bowers,2024-07-11,35,364,140.68,0.0,0.08362637362637362,2,1,3,213,Hibernating,Low Value
CUST_00101,17,37,35293.44,False,True,True,2,James Ramos,2023-12-10,70,578,953.8767567567568,0.0,1.9485813148788929,4,5,5,455,Champions,High Value
CUST_00102,226,1,32.35,False,False,False,0,Michael Thompson,2024-11-05,39,247,32.35,0.0,0.12323886639676114,2,1,1,211,Lost,Low Value
CUST_00103,16,11,3973.7,False,False,False,0,Robert Campbell,2025-04-22,26,79,361.24545454545455,0.0,4.2384810126582275,4,4,4,444,Champions,High Value
CUST_00104,6,1,212.45,False,False,False,0,Anthony Henry,2025-07-02,49,8,212.45,0.0,3.8049999999999997,4,1,3,413,Potential Loyalists,Medium Value
CUST_00105,375,1,73.21,False,False,False,0,Mackenzie Shah,2024-06-27,36,378,73.21,0.0,0.08052910052910053,1,1,2,112,Hibernating,Low Value
CUST_00106,26,38,16690.62,False,True,True,2,Stacey Mills,2022-02-15,46,1241,439.22684210526313,0.0,0.9320870265914586,4,5,5,455,Champions,High Value
CUST_00107,205,5,1240.47,False,False,False,0,Jonathan Crane,2022-03-19,32,1209,248.094,0.0,0.12588916459884203,2,3,3,233,Loyal Customers,High Value
CUST_00108,163,1,29.87,False,False,False,0,Nicole Weber,2025-01-14,47,177,29.87,0.0,0.1719774011299435,2,1,1,211,Lost,Low Value
CUST_00109,667,1,23.51,False,False,False,0,Lisa Campbell MD,2023-08-15,26,695,23.51,0.0,0.04379856115107914,1,1,1,111,Lost,Low Value
CUST_00110,273,1,47.71,False,False,False,0,Frank Williams,2024-09-16,31,297,47.71,0.0,0.1024915824915825,2,1,2,212,Hibernating,Low Value
CUST_00111,43,8,5035.46,False,False,False,0,Kevin Mack,2022-10-10,45,1004,629.4325,0.0,0.24254980079681276,3,4,4,344,Loyal Customers,High Value
CUST_00112,15,1,15.89,False,False,False,0,Lance Harper,2025-06-03,59,37,15.89,0.0,0.8227027027027027,4,1,1,411,New Customers,Medium Value
CUST_00113,333,1,125.69,False,False,False,0,Tricia Vasquez,2024-07-27,50,348,125.69,0.0,0.08747126436781609,2,1,2,212,Hibernating,Low Value
CUST_00114,125,5,3137.14,False,False,False,0,Susan Washington,2024-03-05,38,492,627.428,0.0,0.30934959349593494,2,3,4,234,Loyal Customers,High Value
CUST_00115,425,1,24.87,False,False,False,0,Brian Jones,2024-05-01,26,435,24.87,0.0,0.06997701149425287,1,1,1,111,Lost,Low Value
CUST_00116,15,9,2615.52,False,False,False,0,Chris Brown,2025-03-06,54,126,290.61333333333334,0.0,2.1742857142857144,4,4,4,444,Champions,High Value
CUST_00117,587,1,188.98,False,False,False,0,Adam Vazquez,2023-11-14,41,604,188.98,0.0,0.050397350993377485,1,1,3,113,Hibernating,Low Value
CUST_00118,891,1,189.62,True,False,False,1,Michael White,2023-01-30,41,892,189.62,0.0,0.03412556053811659,1,1,3,113,Hibernating,Low Value
CUST_00119,10,40,22619.07,False,True,True,2,Kevin Higgins,2024-10-22,55,261,565.47675,0.0,4.665134099616859,4,5,5,455,Champions,High Value
CUST_00120,381,1,43.75,False,False,False,0,Gail Foley,2024-06-22,38,383,43.75,0.0,0.07947780678851175,1,1,2,112,Hibernating,Low Value
CUST_00121,420,1,20.4,False,False,False,0,Barry Liu,2024-04-25,40,441,20.4,0.0,0.0690249433106576,1,1,1,111,Lost,Low Value
CUST_00122,8,11,7547.14,False,False,False,0,Samantha Best,2025-02-10,40,150,686.1036363636364,0.0,2.232266666666667,4,4,4,444,Champions,High Value
CUST_00123,161,1,83.94,False,False,False,0,Timothy Townsend,2025-01-20,39,171,83.94,0.0,0.17801169590643276,2,1,2,212,Hibernating,Low Value
CUST_00124,5,1,19.91,False,False,False,0,Rodney Howell,2025-06-27,27,13,19.91,0.0,2.3415384615384616,5,1,1,511,New Customers,Medium Value
CUST_00125,11,34,26214.64,False,True,True,2,David Wright,2024-11-24,18,228,771.0188235294117,0.0,4.539298245614035,4,5,5,455,Champions,High Value
CUST_00126,300,1,35.79,False,False,False,0,Vincent Bell,2024-08-18,42,326,35.79,0.0,0.09337423312883436,2,1,1,211,Lost,Low Value
CUST_00127,7,1,139.94,False,False,False,0,Patricia Miller,2025-06-29,27,11,139.94,0.0,2.7672727272727276,4,1,3,413,Potential Loyalists,Medium Value
CUST_00128,240,1,81.01,False,False,False,0,Jennifer Flynn DDS,2024-10-14,33,269,81.01,0.0,0.11315985130111525,2,1,2,212,Hibernating,Low Value
CUST_00129,523,1,23.51,False,False,False,0,Erin Ross,2024-01-21,44,536,23.51,0.0,0.056791044776119404,1,1,1,111,Lost,Low Value
CUST_00130,19,1,196.66,False,False,False,0,Grace Johnson,2025-06-08,22,32,196.66,0.0,0.9512499999999999,4,1,3,413,Potential Loyalists,Medium Value
CUST_00131,2,1,197.43,False,False,False,0,Mr. Luke Cohen,2025-06-21,66,19,197.43,0.0,1.6021052631578947,5,1,3,513,Potential Loyalists,Medium Value
CUST_00132,355,1,32.31,False,False,False,0,Curtis Johnston,2024-07-05,60,370,32.31,0.0,0.08227027027027027,2,1,1,211,Lost,Low Value
CUST_00133,453,1,30.22,False,False,False,0,William Vargas,2024-03-25,38,472,30.22,0.0,0.06449152542372882,1,1,1,111,Lost,Low Value
CUST_00134,115,1,87.17,False,False,False,0,Lawrence Marquez,2025-02-18,43,142,87.17,0.0,0.2143661971830986,3,1,2,312,Others,Low Value
CUST_00135,20,8,3525.38,False,False,False,0,Tricia Hayes,2023-12-10,32,578,440.6725,0.0,0.4213148788927336,4,4,4,444,Champions,High Value
